0.141496599,2.4
1.093877551,3.1
2.039002268,3.2
2.978684807,3.3
3.925623583,3.4
4.867120181,4.1
5.808616780,4.2
6.750113379,4.3
7.702494331,4.4
8.634920635,5.1
9.596734694,5.2
10.537142857,5.3
11.484081633,5.4
12.427755102,6.1
13.371428571,6.2
14.324897959,6.3
15.262040816,6.4
16.215510204,7.1
17.155918367,7.2
18.102857143,7.3
19.040000000,7.4
19.993469388,8.1
20.924081633,8.2
21.874285714,8.3
22.822312925,1.1
23.762721088,1.2
24.703129252,1.3
25.652244898,1.4
26.592653061,2.1
27.550476190,2.2
28.490884354,2.3
29.431292517,2.4
30.383310658,3.1
30.853514739,3.2
31.321541950,3.3
31.800453515,3.4
32.279365079,4.1
32.744489796,4.2
33.217596372,4.3
33.684897959,4.4
34.155102041,5.1
34.628208617,5.2
35.099863946,5.3
35.575873016,5.4
36.047528345,6.1
36.517732426,6.2
36.990839002,6.3
37.461043084,6.4
37.935600907,7.1
38.410158730,7.2
38.883265306,7.3
39.350566893,7.4
39.826575964,8.1
40.301133787,8.2
