TIME,LABEL,PITCH_HZ_YIN,PITCH_HZ_PIPTRACK,PITCH_HZ_CREPE,PITCH_HZ_PARS,PITCH_NOTE_YIN,PITCH_NOTE_PIPTRACK,PITCH_NOTE_CREPE,PITCH_NOTE_PARS,MIDI_NOTE_YIN,MIDI_NOTE_PIPTRACK,MIDI_NOTE_CREPE,MIDI_NOTE_PARS,LABEL_MANUAL,MIDI_NOTE_MANUAL
55.292520833,s,555.2531227154101,572.8585,560.4499327929396,460.2265455888367,C♯5,D5,C♯5,A♯4,73,74,73,70,A4,69.0
55.582770833,s,542.0963213240409,571.2665,593.8275032451502,461.9780336860786,C♯5,D5,D5,A♯4,73,74,74,70,A4,69.0
56.6566875,s,520.7461625764175,692.62573,602.135199737993,694.7702748562664,C5,F5,D5,F5,72,77,74,77,G#4,68.0
57.986041667,s,709.9844017736184,933.34094,781.8993573356374,1008.72604564388,F5,A♯5,G5,B5,77,82,79,83,D6,86.0
59.1760625,s,898.4889805194576,1028.3263,964.0444662787162,1185.0425052030535,A5,C6,B5,D6,81,84,83,86,D6,86.0
59.6520625,s,1110.708129608691,1094.425,1156.407418143766,1202.370073794527,C♯6,C♯6,D6,D6,85,85,86,86,D#6,87.0
60.029395833,s,945.548802968921,1050.471,1026.498424794386,1202.601782215923,A♯5,C6,C6,D6,82,84,84,86,D#6,87.0
60.2731875,s,819.57578293726,966.76434,847.8981860698299,1192.5151436080419,G♯5,B5,G♯5,D6,80,83,80,86,D#6,87.0
60.934958333,s,719.9663961280637,965.5205,803.5706698574533,941.9828694445328,F♯5,B5,G5,A♯5,78,83,79,82,D6,86.0
61.567708333,s,1037.5950775592898,1090.8625,1164.3999865542448,1201.1784116092203,C6,C♯6,D6,D6,84,85,86,86,D#6,87.0
61.939229167,s,947.592120595463,1022.9513,952.6480573486947,1209.8434187877194,A♯5,C6,A♯5,D♯6,82,84,82,87,D#6,87.0
62.0669375,s,880.3377316039335,978.80164,845.9897781685705,1219.0533898939161,A5,B5,G♯5,D♯6,81,83,80,87,D#6,87.0
62.775145833,s,648.9692396071039,886.1992,699.0828091272091,1119.8600263754001,E5,A5,F5,C♯6,76,81,77,85,D6,86.0
64.226395833,s,670.0996143713107,932.0592,732.3426461259573,1151.3773803078097,E5,A♯5,F♯5,D6,76,82,78,86,D6,86.0
64.940416667,s,638.0360992275731,842.95264,606.8485004850415,697.7223639372118,D♯5,G♯5,D♯5,F5,75,80,75,77,D6,86.0
65.45125,s,413.59671085129247,516.7297,500.82247504086644,460.4792600754635,G♯4,C5,B4,A♯4,68,72,71,70,A4,69.0
65.956270833,s,429.178580391945,463.68793,460.6383189057744,449.1789647250995,A4,A♯4,A♯4,A4,69,70,70,69,A#4,70.0
66.327791667,s,398.61992235106857,485.3383,478.6449821576573,447.46382059519846,G4,B4,A♯4,A4,67,71,70,69,A#4,70.0
67.285625,s,452.3118042317762,623.7853,542.8947654160992,620.6552162399714,A4,D♯5,C♯5,D♯5,69,75,73,75,A4,69.0
68.382770833,s,459.41175374322756,564.4771,640.2176820109783,639.9850843282102,A♯4,C♯5,D♯5,D♯5,70,73,75,75,A4,69.0
69.009708333,s,703.9969812697234,743.68713,732.9493231841095,826.7140421606553,F5,F♯5,F♯5,G♯5,77,78,78,80,G5,79.0
69.781770833,s,777.7603272515959,792.9546,756.9541641177783,1032.836769260021,G5,G5,F♯5,C6,79,79,78,84,G5,79.0
70.495791667,s,717.4996208778975,692.8497,641.0954445269508,776.7870123722832,F5,F5,E5,G5,77,77,76,79,D#5,75.0
71.2388125,s,668.6381130826383,768.7077,700.4583015108294,816.0570804370162,E5,G5,F5,G♯5,76,79,77,80,D#5,75.0
71.952833333,s,631.6741924396822,645.5815,648.0238217465385,651.5262701723892,D♯5,E5,E5,E5,75,76,76,76,D#5,75.0
72.434645833,s,675.6279618099218,716.2472,655.3063517408361,696.6661877270793,E5,F5,E5,F5,76,77,76,77,E5,76.0
72.817770833,s,687.048126894498,732.4188,656.8192948536666,709.9726778947556,F5,F♯5,E5,F5,77,78,76,77,E5,76.0
73.676916667,s,675.0031674313557,697.8976,683.7371480082816,748.6479765808958,E5,F5,F5,F♯5,76,77,77,78,D#5,75.0
74.414145833,s,686.0209082366048,932.6535,730.1020214197083,1082.3157641271928,F5,A♯5,F♯5,C♯6,77,82,78,85,D6,86.0
75.279083333,s,741.0484569563694,900.86615,647.3039194541775,1220.8391395802432,F♯5,A5,E5,D♯6,78,81,76,87,D6,86.0
76.2253125,s,568.0032990617485,556.2342,571.6514163266431,561.3453382079546,C♯5,C♯5,D5,C♯5,73,73,74,73,C#5,73.0
76.591020833,s,569.1127064835715,554.6844,561.3890236553463,563.2477563845765,C♯5,C♯5,C♯5,C♯5,73,73,73,73,D5,74.0
76.933520833,s,573.156624933188,557.547,567.4830206466382,563.7608639918603,D5,C♯5,C♯5,C♯5,74,73,73,73,D5,74.0
77.635916667,s,601.0519167416671,608.52936,561.1878662746151,549.178960007298,D5,D♯5,C♯5,C♯5,74,75,73,73,C#5,73.0
78.320916667,s,648.7467618108385,737.79816,595.7310724569611,551.3282915447811,E5,F♯5,D5,C♯5,76,78,74,73,D#5,75.0
